	description	author	year	journal	function	class	vtype	ghz	jkp	hxz	hxz_ref	cz	note	sample_start	sample_end
196	Cash flow volatility	Huang	2009	JEF	ocfq_saleq_std	fundq		stdcf	ocfq_saleq_std	Vcf	A.5.36		"JKP's implementation. GHZ's version is a bit differernt. 
CZ map this to their VarCF but the reference and defition are different. This is volatility of cash flow to sales, whereas VarCF is volatility of cash flow to price. The reference in CZ is Haugen and Baker (1996)."	1980	2004
197	Short-term reversal	Jegadeesh	1990	JF	ret_1_0	crspm		mom1m	ret_1_0	Srev	A.6.26	STreversal		1929	1982
198	Revenue surprise	Jegadeesh and Livnat	2006	JFE	saleq_su	fundq			saleq_su	Rs	A.1.7	RevenueSurprise	JKP use saleq instead of saleq/cshprq. We use saleq/cshprq following the original definition. HXZ's definition is also different from the original definition and that of JKP.	1987	2003
199	Momentum (12 month)	Jegadeesh and Titman	1993	JF	ret_12_1	crspm		mom12m	ret_12_1	R11	A.1.5	Mom12m		1964	1989
200	Momentum (3 month)	Jegadeesh and Titman	1993	JF	ret_3_1	crspm			ret_3_1					1964	1989
201	Momentum (6 month)	Jegadeesh and Titman	1993	JF	ret_6_1	crspm		mom6m	ret_6_1	R6	A.1.4	Mom6m		1964	1989
202	Momentum (9 month)	Jegadeesh and Titman	1993	JF	ret_9_1	crspm			ret_9_1					1964	1989
203	Firm age	"Jiang, Lee, and Zhang"	2005	RAS	age	merge		age	age	Age	A.5.18	FirmAge		1965	2001
204	Revenue surprise (Karma)	Karma	2009	JBFA	rsup	fundq		rsup						1974	2005
205	Tail risk	Kelly and Jiang	2014	RFS						Tail	A.6.24	BetaTailRisk		1963	2010
206	Earnings announcement return (Kishore et al.)	Kishore et al.	2008	WP				ear					Use Compustat.		
207	Long-term EPS forecast	La Porta	1996	JF						Ltg	A.2.31	fgr5yrLag		1983	1990
208	Long-term EPS forecast (monthly sort)	La Porta	1996	JF						Ltgm	A.2.31	fgr5yrNoLag		1983	1990
209	Annual sales growth	"Lakonishok, Shleifer, and Vishny"	1994	JF	sale_gr1	funda		sgr	sale_gr1	Sg	A.2.19	sgr		1968	1990
210	Annual sales growth (quarterly)	"Lakonishok, Shleifer, and Vishny"	1994	JF						Sgq	A.4.34	sgr_q		1968	1990
211	Cash flow-to-price	"Lakonishok, Shleifer, and Vishny"	1994	JF	fcf_me	funda			fcf_me	Cp	A.2.12	CF		1968	1990
212	Cash flow-to-price (quarterly)	"Lakonishok, Shleifer, and Vishny"	1994	JF						Cpq	A.2.13	CFq		1968	1990
213	Five-year sales growth rank	"Lakonishok, Shleifer, and Vishny"	1994	JF						Sr	A.2.18	MeanRankRevGrowth		1968	1990
214	Three-year sales growth	"Lakonishok, Shleifer, and Vishny"	1994	JF	sale_gr3	funda			sale_gr3					1968	1990
215	Kaplan-Zingales index	"Lamont, Polk, and Saa-Requejo"	2001	RFS	kz_index	funda			kz_index	Kz	A.5.30	KZ	JKP don't subtract txdb in Tobin's Q. We subtract it following the original definition.	1968	1997
216	Kaplan-Zingales index (quarterly)	"Lamont, Polk, and Saa-Requejo"	2001	RFS						Kzq	A.5.31	KZ_q		1968	1997
217	Abnormal volume in earnings announcement month	"Lerman, Livnat, and Mendenhall"	2008	WP				aeavol							
218	Taxable income to income (JKP)	Lev and Nissim	2004	AR	pi_nix	funda			pi_nix	Tbi	A.4.29	Tax	JKP's implementation: use pre-tax income. No need to update tax rates.	1973	2000
219	"Taxable income to income (Org, GHZ)"	Lev and Nissim	2004	AR	tb	funda		tb				Tax	GHZ version (original definition). GHZ use tax rates explicitly and adjust by industry. We don’t industry-adjust.	1973	2000
220	Taxable income to income (quarterly)	Lev and Nissim	2004	AR						Tbiq		Tax_q		1973	2000
221	R&D capital-to-assets	Li	2011	RFS	rd5_at	funda			rd5_at	Rca		RDcap		1980	2007
222	Dividend yield (GHZ)	Litzenberger and Ramaswamy	1979	JF	dy	funda		dy					GHZ version: use funda instead of crsp.	1936	1977
223	Dividend yield (JKP)	Litzenberger and Ramaswamy	1979	JF	div12m_me	crspm			div12m_me	Dp	A.2.14	DivYieldST	"JKP (HXZ) version. This also differs from the original definition: CZ say JKP's definition is closer to that of Keim (1985).
JKP do not set this to nan when the dividend is 0, whereas we set this to nan following HXZ."	1936	1977
224	Dividend yield (quarterly)	Litzenberger and Ramaswamy	1979	JF						Dpq	A.2.15			1936	1977
225	Zero-trading days (1 month)	Liu	2006	JFE	zero_trades_21d	crspd		zerotrade	zero_trades_21d	Lm1	A.6.17	zerotradeAlt1	JKP use turnover in case of an equal number of zero trading days. We follow the original paper and add constant * 1/ turnover to the measure.	1960	2003
226	Zero-trading days (12 months)	Liu	2006	JFE	zero_trades_252d	crspd			zero_trades_252d	Lm12	A.6.17	zerotradeAlt12	JKP use turnover in case of an equal number of zero trading days. We follow the original paper and add constant * 1/ turnover to the measure.	1960	2003
227	Zero-trading days (6 months)	Liu	2006	JFE	zero_trades_126d	crspd			zero_trades_126d	Lm6	A.6.17	zerotrade	JKP use turnover in case of an equal number of zero trading days. We follow the original paper and add constant * 1/ turnover to the measure.	1960	2003
228	Growth in advertising expenses	Lou	2014	RFS						gAd	A.5.3	GrAdExp		1974	2010
229	Initial public offerings	Loughran and Ritter	1995	JF	ipo	crspm	2	IPO						1970	1990
230	Enterprise multiple	Loughran and Wellman	2011	JFQA	enterprise_multiple	funda				Em	A.2.20	EntMult	This is the original definition. CZ add dc and omit pstkrv in enterprise value.	1963	2009
231	Enterprise multiple (JKP)	Loughran and Wellman	2011	JFQA	ebitda_mev	funda			ebitda_mev				"JKP version. JKP omit pstkrv in enterprise value and use ebitda as the operating income instead of oibdp. Also, ebitda_mev is defined as ebitda / mev, which is 1/ enterprise multiple. "	1963	2009
232	Enterprise multiple (quarterly)	Loughran and Wellman	2011	JFQA						Emq	A.2.21	EntMult_q		1963	2009
233	Changes in PPE and inventory/assets	"Lyandres, Sun, and Zhang"	2008	RFS	ppeinv_gr1a	funda			ppeinv_gr1a	dPia	A.3.4	InvestPPEInv		1970	2005
234	Composite debt issuance	"Lyandres, Sun, and Zhang"	2008	RFS	debt_gr3	funda			debt_gr3	Cdi	A.3.13	CompositeDebtIssuance	"JKP use 3-year percentage change, while the original definition is 5-year growth rate. We follow the original definition."	1970	2005
235	Customer industries momentum	Menzly and Ozbas	2010	JF						Cim	A.1.17	iomom_cust		1986	2005
236	Supplier industries momentum	Menzly and Ozbas	2010	JF						Sim	A.1.17	iomom_supp		1986	2005
237	Dividend initiation	"Michaely, Thaler, and Womack"	1995	JF	divi	crspm	2	divi				DivInit	We follow CZ (a slight variation of the OP). GHZ use funda and their definition is different from OP.	1964	1988
238	Dividend omission	"Michaely, Thaler, and Womack"	1995	JF	divo	crspm	2	divo				DivOmit	We follow CZ (a slight variation of the OP). GHZ use funda and their definition is different from OP.	1964	1988
239	Share price	Miller and Scholes	1982	JPE	price	crspm			price	Pps	A.6.15		We change JKP's alias 'prc' to 'price' as 'prc' exists in crspm.	1940	1978
240	Mohanram G-score	Mohanram	2005	RAS				ms		G	A.4.31	MS		1978	2001
241	Industry momentum 	Moskowitz and Grinblatt	1999	JFE	indmom	crspm		indmom		Im	A.1.6	IndMom	Market-cap weighted average of 6-month returns following the original definition. GHZ uses equal-weight average of 12-month momentum. HXZ use 49 FF industry classification rather than the first two-digits of SIC code.	1963	1995
242	Operating leverage	Novy-Marx	2011	JFE	opex_at	funda			opex_at	Ol	A.5.8	OPLeverage	JKP use xopr instead of (cogs + xsga). We follow JKP.	1963	2008
243	Operating leverage (quarterly)	Novy-Marx	2011	JFE						Olq	A.5.9	OPLeverage_q		1963	2008
244	Intermediate momentum (7-12)	Novy-Marx	2012	ROF	ret_12_6	crspm			ret_12_7			IntMom	JKP compute 5-month return (t-7 to t-12) not 6-month return (t-6 to t-12). We use 6-month return.	1927	2010
245	Gross profits-to-assets	Novy-Marx	2013	JFE	gp_at	funda			gp_at	Gpa	A.4.9	GP	"JKP use gp or (sale-cogs) for growth profit, while HXZ and GHZ use revt-cogs. We follow JKP."	1963	2010
246	Gross profits-to-lagged assets	Novy-Marx	2013	JFE	gp_atl1	funda		gma	gp_atl1	Gla	A.4.10	GPlag	"JKP use gp or (sale-cogs) for growth profit, while HXZ and GHZ use revt-cogs. We follow JKP."	1963	2010
247	Gross profits-to-lagged assets (quarterly)	Novy-Marx	2013	JFE						Glaq	A.4.11	GPlag_q		1963	2010
248	Asset liquidity to book assets	Ortiz-Molina and Phillips	2014	JFQA	aliq_at	funda			aliq_at	Ala	A.5.46	AssetLiquidityBook	JKP don't subtract gdwl since it's already included in intangibles. We follow JKP.	1984	2006
249	Asset liquidity to book assets (quarterly)	Ortiz-Molina and Phillips	2014	JFQA						Alaq	A.5.47	AssetLiquidityBookQuart		1984	2006
